image_path,file_name,stem,extension,parent,view,numeric_tokens,size_kb,token_match_found
experiments/traqid_pretraining_v1/data/raw/traqid/front/1.png,1.png,1,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,1,21.662109375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10.png,10.png,10,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10,23.9755859375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/100.png,100.png,100,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,100,30.6416015625,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/1000.png,1000.png,1000,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,1000,25.3857421875,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10000.png,10000.png,10000,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10000,20.015625,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10001.png,10001.png,10001,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10001,19.462890625,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10002.png,10002.png,10002,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10002,19.57421875,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10003.png,10003.png,10003,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10003,18.876953125,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10004.png,10004.png,10004,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10004,20.794921875,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10005.png,10005.png,10005,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10005,20.658203125,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10006.png,10006.png,10006,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10006,22.3466796875,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10007.png,10007.png,10007,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10007,20.6357421875,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10008.png,10008.png,10008,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10008,23.6708984375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10009.png,10009.png,10009,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10009,19.8818359375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/1001.png,1001.png,1001,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,1001,27.0625,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10010.png,10010.png,10010,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10010,18.6005859375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10011.png,10011.png,10011,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10011,19.3251953125,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10012.png,10012.png,10012,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10012,19.3779296875,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10013.png,10013.png,10013,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10013,23.3349609375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10014.png,10014.png,10014,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10014,23.80859375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10015.png,10015.png,10015,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10015,20.0185546875,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10016.png,10016.png,10016,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10016,22.646484375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10017.png,10017.png,10017,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10017,21.8974609375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10018.png,10018.png,10018,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10018,22.5390625,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10019.png,10019.png,10019,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10019,18.298828125,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/1002.png,1002.png,1002,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,1002,23.44921875,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10020.png,10020.png,10020,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10020,21.9833984375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10021.png,10021.png,10021,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10021,20.73828125,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10022.png,10022.png,10022,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10022,21.1943359375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10023.png,10023.png,10023,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10023,20.529296875,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10024.png,10024.png,10024,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10024,23.7998046875,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10025.png,10025.png,10025,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10025,23.2939453125,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10026.png,10026.png,10026,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10026,19.27734375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10027.png,10027.png,10027,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10027,19.7529296875,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10028.png,10028.png,10028,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10028,19.7880859375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10029.png,10029.png,10029,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10029,21.9248046875,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/1003.png,1003.png,1003,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,1003,24.083984375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10030.png,10030.png,10030,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10030,21.603515625,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10031.png,10031.png,10031,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10031,18.74609375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10032.png,10032.png,10032,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10032,19.064453125,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10033.png,10033.png,10033,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10033,18.884765625,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10034.png,10034.png,10034,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10034,20.859375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10035.png,10035.png,10035,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10035,23.818359375,True
experiments/traqid_pretraining_v1/data/raw/traqid/front/10036.png,10036.png,10036,.png,experiments/traqid_pretraining_v1/data/raw/traqid/front,front,10036,20.7412109375,True
