kind,model_indices,num_models,weights,R2,RMSE,MAE,trial
random_weighted,"[1, 3, 0]",3,"[0.37868, 0.335731, 0.285588]",0.9564908505346654,18.29179979397838,8.611915886201258,2465.0
random_weighted,"[0, 1, 3]",3,"[0.290056, 0.375567, 0.334377]",0.9564908480166977,18.291427447842977,8.610710491025012,1206.0
random_weighted,"[0, 1, 3]",3,"[0.284484, 0.382926, 0.33259]",0.9564907938227342,18.291687976092444,8.608682624741485,4840.0
random_weighted,"[0, 1, 3]",3,"[0.289973, 0.381054, 0.328973]",0.9564907204447595,18.29112078675681,8.60525737552798,522.0
random_weighted,"[1, 3, 0]",3,"[0.374226, 0.329697, 0.296077]",0.9564903631770836,18.290845748988307,8.606275643152903,3513.0
random_weighted,"[0, 1, 3]",3,"[0.285701, 0.37519, 0.33911]",0.9564903569251159,18.292108290847384,8.615438860220289,1252.0
random_weighted,"[0, 1, 3]",3,"[0.291925, 0.371075, 0.337]",0.9564902251053004,18.291605121794106,8.613555595946465,693.0
random_weighted,"[0, 1, 3]",3,"[0.292436, 0.370258, 0.337306]",0.9564900685273791,18.291625040958753,8.613917549500252,4848.0
random_weighted,"[0, 1, 3]",3,"[0.288376, 0.386934, 0.32469]",0.9564896008373261,18.291195753346106,8.601095688509451,2315.0
random_weighted,"[1, 3, 0]",3,"[0.386539, 0.324351, 0.28911]",0.9564895690193137,18.291133089247918,8.600790546307442,1256.0
random_weighted,"[0, 1, 3]",3,"[0.28442, 0.37177, 0.34381]",0.9564890006966237,18.29277190801397,8.620473559177876,3248.0
random_weighted,"[0, 1, 3]",3,"[0.282693, 0.39156, 0.325748]",0.9564889451715759,18.291775022696527,8.60203276700035,2192.0
random_weighted,"[1, 3, 0]",3,"[0.380482, 0.343866, 0.275652]",0.9564886830949891,18.29340151339821,8.620244866964049,864.0
random_weighted,"[1, 3, 0]",3,"[0.393722, 0.33167, 0.274608]",0.9564884149309587,18.2927814811466,8.607793469085761,2687.0
random_weighted,"[1, 3, 0]",3,"[0.39328, 0.334006, 0.272715]",0.956488259589202,18.293080151279387,8.610096990678663,3423.0
random_weighted,"[1, 3, 0]",3,"[0.363127, 0.336594, 0.300279]",0.9564881823328012,18.29147986902156,8.613835135107449,346.0
random_weighted,"[1, 3, 0]",3,"[0.364342, 0.343176, 0.292482]",0.9564879078137309,18.292453460063403,8.620315299614921,2259.0
random_weighted,"[1, 3, 0]",3,"[0.396888, 0.329458, 0.273654]",0.9564873562194306,18.292935036684046,8.605722735038944,2679.0
random_weighted,"[1, 3, 0]",3,"[0.361453, 0.341865, 0.296682]",0.9564872608141667,18.29224188037843,8.61924111906307,367.0
random_weighted,"[0, 1, 3]",3,"[0.286039, 0.366622, 0.347339]",0.9564871252749111,18.29328916501483,8.624502866010443,586.0
random_weighted,"[1, 3, 0]",3,"[0.37318, 0.320262, 0.306557]",0.9564869932028276,18.290275604612955,8.597764000851319,3572.0
random_weighted,"[1, 3, 0]",3,"[0.392245, 0.340075, 0.26768]",0.9564869745425156,18.294047358320118,8.61631748313466,670.0
random_weighted,"[0, 1, 3, 4]",4,"[0.30377, 0.348373, 0.332912, 0.014945]",0.9564867763997343,18.292303881274588,8.617606985400917,1099.0
random_weighted,"[0, 1, 2, 3, 4]",5,"[0.267623, 0.363759, 8e-05, 0.334408, 0.03413]",0.9564865746397465,18.29600698399472,8.628379896259954,555.0
random_weighted,"[0, 1, 3, 4]",4,"[0.30545, 0.347625, 0.33201, 0.014915]",0.9564863476804603,18.292227144588846,8.616780814985333,1823.0
random_weighted,"[0, 1, 3, 4]",4,"[0.297429, 0.350738, 0.304266, 0.047567]",0.9564862322097442,18.29305838155714,8.605625516685633,4687.0
random_weighted,"[1, 3, 0]",3,"[0.366956, 0.322852, 0.310192]",0.9564862061773578,18.290373379299037,8.600611879678336,1325.0
random_weighted,"[0, 1, 3]",3,"[0.269747, 0.400953, 0.3293]",0.95648548479279,18.293581101176695,8.605737327303984,1224.0
random_weighted,"[0, 1, 3]",3,"[0.291299, 0.359826, 0.348875]",0.9564848595875124,18.293537642808715,8.626681511811936,2504.0
random_weighted,"[0, 1, 2, 3]",4,"[0.274003, 0.376225, 0.001648, 0.348124]",0.9564847356009945,18.29469812435667,8.624568904687314,3781.0
random_weighted,"[1, 3, 0]",3,"[0.402613, 0.324553, 0.272834]",0.956484658494015,18.29326639485022,8.601235568115625,2325.0
random_weighted,"[0, 1, 3]",3,"[0.275141, 0.371737, 0.353122]",0.9564845203641467,18.294887572917578,8.6305310255081,2253.0
random_weighted,"[1, 3, 0]",3,"[0.387591, 0.348693, 0.263715]",0.956484356710915,18.295376356784423,8.625507063654256,2547.0
random_weighted,"[1, 3, 0]",3,"[0.403293, 0.325611, 0.271096]",0.9564843561142725,18.293509955007362,8.602282621751925,3499.0
random_weighted,"[1, 3, 0]",3,"[0.399928, 0.316889, 0.283183]",0.956484142919844,18.29221868118646,8.59410367661856,1262.0
random_weighted,"[0, 1, 3]",3,"[0.294421, 0.356639, 0.34894]",0.956483679733599,18.2935975957276,8.627057016696481,3033.0
random_weighted,"[0, 1, 3]",3,"[0.262211, 0.388385, 0.349404]",0.9564835880325742,18.295678335210273,8.626328452482921,73.0
random_weighted,"[1, 3, 0]",3,"[0.401137, 0.337488, 0.261375]",0.9564835236155597,18.29503672363117,8.614126121529843,2768.0
random_weighted,"[0, 1, 3]",3,"[0.280452, 0.402431, 0.317117]",0.9564832213245875,18.292611769225356,8.59440034719265,2929.0
random_weighted,"[1, 3, 0]",3,"[0.393834, 0.311624, 0.294542]",0.9564831765194229,18.291335332368444,8.589536218822131,1344.0
random_weighted,"[0, 1, 3]",3,"[0.306293, 0.383001, 0.310707]",0.9564828371735487,18.290562208670732,8.58902199059481,474.0
random_weighted,"[1, 3, 0]",3,"[0.373862, 0.313249, 0.312889]",0.9564827866471987,18.290298733505235,8.591724770827598,2555.0
random_weighted,"[0, 1, 3]",3,"[0.260448, 0.389514, 0.350038]",0.9564826873889536,18.296020094038315,8.627083770924779,870.0
random_weighted,"[0, 1, 3]",3,"[0.314843, 0.353819, 0.331338]",0.9564826790233877,18.29137971100206,8.61000230952553,1548.0
random_weighted,"[1, 3, 0]",3,"[0.401729, 0.338998, 0.259273]",0.9564825539336064,18.29546944763472,8.61576912390168,599.0
random_weighted,"[0, 1, 3]",3,"[0.263666, 0.382158, 0.354176]",0.956482216027139,18.296163728257792,8.631595024636036,4787.0
random_weighted,"[0, 1, 3]",3,"[0.318375, 0.360105, 0.321521]",0.9564821605252716,18.290614994452103,8.600263907719642,3089.0
random_weighted,"[0, 1, 3, 4]",4,"[0.252636, 0.377008, 0.345459, 0.024897]",0.9564820052886969,18.297994750916725,8.635365522799894,1044.0
