heldout_date,train_rows,test_rows,embedding_kind,target,target_mode,model,pca_components,alpha,model_label,MAE,RMSE,R2,Pearson,Spearman
2023-12-23,26242,436,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,187.39335084416564,190.02255176324135,-34.995428437874985,,
2022-10-24,25037,1641,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,73.10425998881988,96.66098153626555,-1.0774631480903962,,
2023-12-21,25970,708,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,79.48675003060373,87.13682135749971,-4.956642056644508,,
2023-12-22,25942,736,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,74.35956549620599,77.2405750661843,-12.659873960335132,,
2024-03-03,24739,1939,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,34.48466866215194,56.66447181377939,-0.5344970435537733,,
2023-12-29,26269,409,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,45.30830866617737,50.449903742668276,-4.169479086541,,
2024-07-09,24928,1750,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,30.83995962753105,46.53257463987738,-0.01215140769393619,,
2024-03-06,25066,1612,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,25.715184395685636,44.776712814436976,-0.3734725472335243,,
2024-07-05,24560,2118,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,34.65507738464595,37.01541018657041,-2.181473280065716,,
2023-02-06,25256,1422,none,PM2.5,log1p,mean_baseline,,,mean_baseline_log1p,20.14651397622232,27.047720711895213,-0.04888960428433453,,
