date,rows,pm25_mean,pm25_min,pm25_max,pm10_mean,aqi_mean
2022-10-22,1722,39.576799070847855,21.159,74.554,53.49387630662021,66.61514796743322
2022-10-24,1641,123.40610786106033,31.366,326.484,114.17656599634368,239.10145540968313
2022-10-25,1131,44.38877630415561,23.106,82.047,56.102967904509285,75.3576729734306
2022-10-26,2205,45.12723492063492,22.87,103.641,57.38867120181406,80.30330433877552
2023-01-28,1120,45.37907946428572,29.832,83.227,57.82840482142857,77.01459214276785
2023-01-30,1271,51.671701809598744,31.897,111.724,58.05038127458694,93.22019286648309
2023-02-01,1368,62.029222953216376,50.954,84.702,74.49754824561403,109.81061564343567
2023-02-06,1422,61.84862798874824,27.118,152.198,62.663102109704646,120.59970865248945
2023-02-07,1386,41.67244011544012,28.062,68.654,61.19605685425686,72.17777585374459
2023-02-08,1354,51.67690251107828,25.407,123.052,57.931803840472675,93.73811321516986
2023-12-21,708,134.272429661674,79.0481387365724,298.314676766511,331.1000610680106,317.3762431074637
2023-12-22,736,129.1250346145501,99.9058368165724,286.973316471572,351.30200012485403,324.5989456225267
2023-12-23,436,242.0841182808796,48.4133946815724,324.908254854572,577.9716289418419,538.6159519879567
2023-12-29,409,100.87955728775809,77.7445326065724,238.479168435572,269.7364028014871,254.98664441029982
2024-03-01,1090,57.394044936366974,35.50769399,186.8563527,161.63400035018347,144.27839498348624
2024-03-02,1260,57.50801321403174,34.72553032,325.2993497,212.17948949535716,184.35000957051588
2024-03-03,1939,87.93847711998453,38.50598809,339.1175617,232.36214919717895,215.9670319129087
2024-03-06,1612,78.50639816671216,37.20238196,325.4296973,211.535722044268,192.0857709343424
2024-07-05,2118,29.21108668690798,14.5249339597516,248.878094711851,72.90282912767442,77.73930329581873
2024-07-09,1750,61.601431665277815,12.9166278757516,400.863042625652,90.91060920569123,127.34573673677356
