hour,test,train,val
6,0.0,0.0011375331780510264,0.0
7,0.0,0.002166729862954336,0.0
8,0.0,0.01186284599967499,0.0
9,0.015233668990446682,0.05747250961486377,0.013888888888888888
10,0.025045184611412342,0.06803531769676616,0.026175213675213676
11,0.027627162406403304,0.03353014462921835,0.024839743589743588
12,0.0,0.0334759763826445,0.0
13,0.0,0.02107144791723092,0.0
14,0.0,0.008396078218948052,0.0
15,0.0,0.05151400249173934,0.0109508547008547
16,0.009553317841466564,0.08130653810736146,0.1858974358974359
17,0.22437387038471468,0.23812361193868153,0.038461538461538464
18,0.053446940356312936,0.28470830399219976,0.18509615384615385
19,0.3916860315001291,0.10443637939439901,0.35149572649572647
20,0.2530338239091144,0.002762580575266779,0.16319444444444445
