heldout_date,test_rows,train_rows,test_PM2.5_mean,test_PM2.5_median,test_PM2.5_min,test_PM2.5_max,global_PM2.5_mean,mean_shift_vs_global,abs_mean_shift_vs_global
2023-12-23,436,26242,242.0841182808796,246.2356183910415,48.4133946815724,324.908254854572,66.57425668362501,175.5098615972546,175.5098615972546
2023-12-21,708,25970,134.27242966167404,123.95736991507201,79.0481387365724,298.314676766511,66.57425668362501,67.69817297804903,67.69817297804903
2023-12-22,736,25942,129.1250346145501,124.935074512572,99.9058368165724,286.973316471572,66.57425668362501,62.55077793092508,62.55077793092508
2022-10-24,1641,25037,123.40610786106033,113.494,31.366,326.484,66.57425668362501,56.831851177435325,56.831851177435325
2024-07-05,2118,24560,29.21108668690798,23.7152544397516,14.5249339597516,248.878094711851,66.57425668362501,-37.36316999671703,37.36316999671703
2023-12-29,409,26269,100.87955728775809,94.3003304575724,77.7445326065724,238.479168435572,66.57425668362501,34.30530060413308,34.30530060413308
2022-10-22,1722,24956,39.57679907084785,37.856,21.159,74.554,66.57425668362501,-26.99745761277716,26.99745761277716
2023-02-07,1386,25292,41.67244011544012,40.658500000000004,28.062,68.654,66.57425668362501,-24.90181656818489,24.90181656818489
2022-10-25,1131,25547,44.38877630415561,43.638,23.106,82.047,66.57425668362501,-22.185480379469396,22.185480379469396
2022-10-26,2205,24473,45.12723492063492,41.632,22.87,103.641,66.57425668362501,-21.44702176299009,21.44702176299009
2024-03-03,1939,24739,87.93847711998453,73.31227176,38.50598809,339.1175617,66.57425668362501,21.364220436359517,21.364220436359517
2023-01-28,1120,25558,45.37907946428572,43.756,29.832,83.227,66.57425668362501,-21.195177219339293,21.195177219339293
2023-01-30,1271,25407,51.671701809598744,46.175,31.897,111.724,66.57425668362501,-14.902554874026265,14.902554874026265
2023-02-08,1354,25324,51.67690251107828,46.47,25.407,123.052,66.57425668362501,-14.897354172546727,14.897354172546727
2024-03-06,1612,25066,78.50639816671216,64.18702885,37.20238196,325.4296973,66.57425668362501,11.93214148308715,11.93214148308715
2024-03-01,1090,25588,57.394044936366974,53.692999505,35.50769399,186.8563527,66.57425668362501,-9.180211747258035,9.180211747258035
2024-03-02,1260,25418,57.50801321403174,53.10637675,34.72553032,325.2993497,66.57425668362501,-9.066243469593267,9.066243469593267
2024-07-09,1750,24928,61.601431665277815,48.586559238751605,12.9166278757516,400.863042625652,66.57425668362501,-4.972825018347194,4.972825018347194
2023-02-06,1422,25256,61.84862798874824,54.051500000000004,27.118,152.198,66.57425668362501,-4.725628694876768,4.725628694876768
2023-02-01,1368,25310,62.029222953216376,61.81,50.954,84.702,66.57425668362501,-4.545033730408633,4.545033730408633
