date,rows,start_time,end_time,unique_timestamps,PM2.5_mean,PM2.5_std,PM2.5_min,PM2.5_p25,PM2.5_median,PM2.5_p75,PM2.5_max,PM10_mean,PM10_std,PM10_min,PM10_p25,PM10_median,PM10_p75,PM10_max,aqi_mean,aqi_std,aqi_min,aqi_p25,aqi_median,aqi_p75,aqi_max,Day_or_Night_Night,Season_Monsoon,Temperature_mean,Temperature_min,Temperature_max,Humidity_mean,Humidity_min,Humidity_max,Day_or_Night_Day,Season_Winter,Season_Summer
2022-10-22,1722,2022-10-22 18:00:00,2022-10-22 20:59:00,177,39.57679907084785,10.03665608769708,21.159,33.49,37.856,44.09525,74.554,53.4938763066202,8.51818704626324,33.448,47.955,52.926500000000004,59.1042,89.1614,66.61514796743322,18.3688929455719,36.545,55.915,63.09333333,73.5904166675,148.5133333,1722.0,1722.0,27.28967479674797,26.3,28.3,43.78582113821139,39.32,48.803,,,
2022-10-24,1641,2022-10-24 18:00:00,2022-10-24 20:41:00,161,123.40610786106033,67.08368377031994,31.366,62.872,113.494,175.267,326.484,114.1765659963437,42.01222056912743,47.2704,79.1532,106.472,146.3418,269.4394,239.10145540968307,118.4243635689512,52.27666667,109.5733333,278.3133333,342.5130769,458.8338462,1641.0,1641.0,26.333449116392444,23.22,27.69,47.05051188299818,41.502,60.995,,,
2022-10-25,1131,2022-10-25 18:00:00,2022-10-25 19:59:00,115,44.38877630415561,11.031866553464816,23.106,37.4725,43.638,49.036500000000004,82.047,56.102967904509285,8.966061278594342,38.4358,50.383700000000005,56.1702,60.783100000000005,102.0058,75.3576729734306,22.389892537756133,39.5116,62.454166665,72.73,81.72749999999999,173.49,1131.0,1131.0,27.528249336870022,24.39,28.84,39.7066091954023,35.209,51.973,,,
2022-10-26,2205,2022-10-26 17:00:00,2022-10-26 20:58:00,222,45.12723492063492,15.84641538785426,22.87,33.608,41.632,52.016,103.641,57.388671201814056,13.518725412167159,32.5026,48.0854,55.4204,63.7334,181.0934,80.30330433877552,35.82291047669632,38.11666667,57.98,70.86166667,87.67666667,245.47,1568.0,2205.0,28.596721088435373,26.34,30.41,43.3286925170068,35.803,52.331,637.0,,
2023-01-28,1120,2023-01-28 17:10:00,2023-01-28 19:39:00,143,45.37907946428572,9.949339128493367,29.832,38.151,43.756,50.76225,83.227,57.82840482142857,8.879500154000327,40.4896,52.2582,56.92,61.7774,101.5494,77.01459214276785,20.352274697397576,49.72,63.88,73.106466665,84.60375,177.4233333,724.0,,29.832767857142855,27.74,31.82,34.562560714285716,28.692,39.376,396.0,1120.0,
2023-01-30,1271,2023-01-30 17:00:00,2023-01-30 19:39:00,160,51.671701809598744,16.603759679069793,31.897,39.4195,46.175,59.391000000000005,111.724,58.05038127458694,10.746599093991907,42.0544,51.2802,55.5834,62.136,145.9832,93.22019286648309,42.547135599022454,53.16166667,66.63333333,77.45,99.77166667,272.4133333,772.0,,28.797254130605822,27.28,29.89,48.304945712037764,46.404,50.302,499.0,1271.0,
2023-02-01,1368,2023-02-01 17:01:00,2023-02-01 19:59:00,176,62.029222953216376,6.69816395859637,50.954,56.559,61.81,66.412,84.702,74.49754824561404,12.21610280006606,56.5288,67.2542,71.9812,78.5012,176.9858,109.81061564343567,19.17415043140457,84.92333333,94.265,106.0333333,121.3733333,182.34,897.0,,28.64600877192983,27.03,30.94,38.84986476608187,34.374,43.155,471.0,1368.0,
2023-02-06,1422,2023-02-06 16:01:00,2023-02-06 18:59:00,178,61.84862798874824,26.419131834784697,27.118,41.396,54.051500000000004,74.30324999999999,152.198,62.66310210970464,14.010095073329278,35.4366,52.42935,60.0985,70.3512,110.2536,120.59970865248945,71.97585783186256,45.19666667,69.5095833325,90.085833335,147.677500025,324.7676923,476.0,,33.03673699015471,29.82,38.77,32.69036216596343,21.651,40.406,946.0,1422.0,
2023-02-07,1386,2023-02-07 16:30:00,2023-02-07 19:29:00,177,41.67244011544012,7.437594517751736,28.062,36.39575,40.658500000000004,45.45225,68.654,61.196056854256845,14.613871759007177,39.3486,52.03,57.5068,66.4718,165.6736,72.17777585374458,14.61973632423583,46.77,62.50333333,70.17333333,78.23666667,143.7824,692.0,,31.941796536796538,29.22,181.37,37.268851370851365,31.357,42.895,694.0,1386.0,
2023-02-08,1354,2023-02-08 16:30:00,2023-02-08 19:26:00,174,51.67690251107828,18.04322416716963,25.407,39.40475,46.47,59.45,123.052,57.931803840472675,12.727115593931753,32.1766,49.29975,56.431,64.6788,133.9864,93.73811321516988,46.3776939455289,42.345,65.84666667,77.990833335,99.452083335,302.3476923,664.0,,33.925723781388484,30.84,39.54,32.952843426883305,20.448,39.251,690.0,1354.0,
